destination,duration_days,travel_style,num_travelers,total_cost_usd
Casablanca,2,budget,6,683
Florence,5,budget,6,2734
Santiago,20,budget,4,4607
Siem Reap,9,budget,5,2384
Havana,19,budget,4,4038
Cairo,2,mid,2,494
Edinburgh,6,mid,2,1999
Edinburgh,4,budget,4,1217
Dubrovnik,10,luxury,1,3185
Bogota,14,budget,1,825
Victoria Falls,13,luxury,5,17582
Kuala Lumpur,9,budget,3,1794
Barcelona,14,budget,3,3458
Interlaken,13,budget,3,3774
Munich,4,luxury,5,6139
Bogota,9,luxury,2,4769
Munich,19,luxury,2,11831
Apia,9,budget,1,673
San Francisco,4,mid,2,1493
Quebec City,12,luxury,2,7372
Los Angeles,16,luxury,2,9310
Lisbon,19,luxury,5,25104
Marrakech,20,mid,4,9164
Istanbul,17,luxury,1,5070
Jaipur,7,budget,6,2158
Kuala Lumpur,14,mid,5,9489
Cartagena,19,mid,1,2453
Jaipur,19,luxury,3,16174
Edinburgh,11,budget,4,3416
Bangkok,10,luxury,5,14372
Buenos Aires,11,budget,6,4035
London,13,budget,2,2631
Port Vila,2,luxury,5,2681
Chiang Mai,13,budget,3,1923
Madrid,4,luxury,1,1243
Kuala Lumpur,6,luxury,2,3370
San Jose,10,budget,5,3641
Orlando,19,budget,6,10965
Gold Coast,14,mid,6,13254
Vancouver,16,luxury,1,4496
Kuala Lumpur,2,mid,5,1199
Cairo,2,budget,1,120
Singapore,4,budget,1,417
Hanoi,9,luxury,3,7433
Venice,6,luxury,6,12435
Cape Town,17,luxury,2,10278
Las Vegas,5,budget,1,508
Zurich,15,mid,4,11446
Seoul,5,luxury,1,1388
Edinburgh,9,budget,2,1412
Toronto,15,budget,2,2507
Lisbon,16,budget,5,5241
Accra,2,luxury,1,611
Madrid,15,budget,4,4803
San Francisco,7,budget,4,2525
New York City,16,mid,3,7925
Queenstown,17,luxury,2,9467
Venice,20,budget,6,11605
Fiji,3,mid,1,483
Buenos Aires,7,luxury,1,2159
Ho Chi Minh City,4,budget,5,931
Madrid,5,mid,5,3245
Luxor,21,budget,1,1096
Marrakech,18,luxury,3,16451
Rome,12,luxury,2,6649
Abu Dhabi,11,luxury,4,12763
Bora Bora,2,budget,4,1202
Quebec City,4,budget,5,1526
Berlin,13,budget,1,1166
Krakow,7,mid,4,3773
Cairns,21,mid,6,19001
Seychelles,11,luxury,6,19074
Istanbul,5,mid,1,681
Maldives,11,mid,5,9543
Edinburgh,10,budget,5,4310
Seoul,15,budget,3,2952
Dublin,10,budget,2,1823
San Jose,15,luxury,5,17623
Hanoi,6,luxury,5,6766
Krakow,19,luxury,2,10137
Kyoto,13,mid,1,2023
Rome,9,luxury,6,14174
Port Vila,15,luxury,5,22814
Madrid,7,budget,4,1933
Wellington,15,mid,6,14775
Lisbon,7,mid,6,4985
Tokyo,9,mid,2,2917
Montreal,11,mid,2,2925
Mauritius,14,budget,3,3686
Kuala Lumpur,13,mid,6,9230
Addis Ababa,12,luxury,1,2813
Berlin,20,budget,3,4161
Luxor,13,mid,6,9614
Honolulu,18,luxury,1,5596
Cape Town,10,budget,1,728
Bangkok,19,luxury,6,32381
Wellington,8,luxury,3,7005
Seychelles,21,mid,3,11764
Dubai,11,luxury,5,16386
Las Vegas,14,mid,6,12380
Abu Dhabi,15,budget,6,9883
Addis Ababa,7,luxury,5,9467
San Francisco,2,luxury,3,1775
Honolulu,21,luxury,6,38408
Vancouver,8,mid,5,6110
Wellington,4,budget,3,1061
Casablanca,12,luxury,1,3563
Bora Bora,11,budget,2,3483
Doha,3,budget,2,687
Nairobi,16,budget,4,4463
Cape Town,14,budget,4,3721
Doha,2,luxury,1,672
Florence,18,budget,4,5294
Lisbon,16,budget,2,2600
Seychelles,19,luxury,5,29452
Bora Bora,21,mid,6,28868
Orlando,16,luxury,2,10336
Cancun,10,mid,2,3196
Prague,17,luxury,6,26326
Vancouver,11,budget,2,1926
Reykjavik,4,luxury,2,2285
New York City,6,luxury,6,10499
Miami,12,mid,5,9235
Singapore,15,budget,4,6325
Marrakech,2,luxury,5,2598
Bangkok,11,mid,4,5670
Miami,19,luxury,5,32486
Rio de Janeiro,10,budget,4,2728
New York City,14,mid,6,12769
Mexico City,21,budget,5,5631
Los Angeles,20,luxury,6,32231
Dakar,6,mid,4,2594
Berlin,12,mid,2,3326
Edinburgh,10,mid,4,5424
Ho Chi Minh City,2,mid,6,1378
Dubrovnik,4,budget,6,1821
Bali,8,budget,1,506
Madrid,17,budget,6,7261
Venice,10,mid,3,4200
Zanzibar,5,luxury,2,3122
Goa,2,luxury,3,1626
Stockholm,8,mid,1,1266
Victoria Falls,5,budget,6,2856
Johannesburg,5,luxury,5,7471
Dubrovnik,15,luxury,6,25779
Buenos Aires,12,luxury,1,3593
Rio de Janeiro,15,budget,3,3208
Montreal,6,luxury,4,6392
Cusco,10,luxury,5,14557
Bogota,16,mid,4,8290
Cairo,12,mid,2,3073
Siem Reap,16,mid,2,3833
Quebec City,14,luxury,3,10584
Copenhagen,17,budget,2,3154
Berlin,10,mid,5,7449
Prague,2,luxury,5,3176
Ho Chi Minh City,15,budget,4,3263
Madrid,17,luxury,6,31514
Toronto,4,budget,3,984
Sydney,11,budget,6,6964
Cancun,18,luxury,3,15574
Fiji,12,luxury,3,11725
Munich,10,mid,2,2570
Paris,5,mid,6,4761
Tahiti,7,luxury,2,4278
Tulum,20,mid,5,15230
Kathmandu,11,budget,2,1065
Athens,19,budget,2,2533
Seoul,11,luxury,6,21391
Casablanca,5,mid,1,618
Cancun,16,mid,3,6301
Seoul,17,mid,1,2535
San Francisco,4,mid,5,3449
Seoul,6,budget,5,2587
Ho Chi Minh City,5,budget,5,1444
Zanzibar,21,luxury,2,12460
Stockholm,16,mid,3,8191
Orlando,20,mid,5,13108
Wellington,8,budget,6,3858
Mauritius,7,budget,2,1187
Hanoi,2,budget,4,410
Luxor,11,mid,1,1148
Cairns,16,mid,1,2526
Berlin,20,luxury,6,38038
London,5,mid,5,3670
Maldives,6,mid,1,989
Santorini,20,luxury,3,18614
Mexico City,11,luxury,6,17459
Munich,19,luxury,4,22001
Luxor,15,budget,6,4558
Amsterdam,4,budget,2,829
Cape Town,2,luxury,6,3664
Cape Town,7,budget,4,1929
Vancouver,7,mid,5,5286
Rio de Janeiro,17,budget,3,3397
Copenhagen,5,luxury,2,2913
Sydney,11,mid,6,12195
Tahiti,3,luxury,4,3513
Amsterdam,5,mid,4,3351
Bangkok,19,luxury,4,19727
Paris,13,luxury,5,21490
Victoria Falls,3,mid,2,826
Abu Dhabi,16,mid,6,15003
Bali,21,luxury,2,12098
Santorini,2,luxury,5,3073
Florence,16,budget,1,1420
Maldives,11,mid,5,11094
Miami,17,mid,2,5218
Doha,8,mid,5,6416
Istanbul,10,budget,4,2551
Buenos Aires,2,mid,3,775
Cairo,17,luxury,2,8916
Tulum,12,mid,5,9580
Stockholm,12,mid,2,4229
Madrid,14,luxury,2,9003
Las Vegas,12,budget,6,6927
Stockholm,6,mid,4,4211
Abu Dhabi,20,luxury,3,20463
Vancouver,18,budget,4,5784
Doha,6,mid,1,951
Berlin,21,mid,6,17159
Ho Chi Minh City,19,mid,4,9801
Victoria Falls,17,luxury,5,21803
Kuala Lumpur,11,budget,2,1370
Honolulu,5,budget,4,2016
Athens,3,budget,3,701
Budapest,13,mid,4,5832
Cartagena,20,mid,6,15990
Taipei,4,budget,5,1422
Maasai Mara,9,luxury,4,12785
Doha,16,budget,6,8891
Amsterdam,2,luxury,4,2698
Addis Ababa,7,luxury,1,1823
Dubrovnik,11,luxury,6,22394
Sydney,16,mid,3,7118
New York City,5,mid,2,1630
Zurich,11,luxury,6,19946
Mauritius,10,mid,1,1570
Johannesburg,3,luxury,5,4436
Vienna,21,budget,3,4817
Paris,10,luxury,6,19832
Apia,6,luxury,6,8814
Victoria Falls,3,luxury,3,2914
Tokyo,13,luxury,6,20674
Budapest,15,mid,2,3427
Santiago,18,mid,5,12848
Taipei,17,mid,3,6792
Edinburgh,16,budget,1,1235
Florence,14,luxury,5,19818
Los Angeles,10,budget,5,4568
Krakow,10,luxury,5,13139
Casablanca,5,mid,6,3340
Bali,19,luxury,3,17371
Florence,4,luxury,6,7768
Melbourne,15,mid,1,2121
Tokyo,17,mid,1,2212
Bogota,14,budget,4,3122
Fiji,19,luxury,4,23943
Queenstown,15,budget,6,7680
Rio de Janeiro,15,luxury,3,10776
Krakow,16,budget,4,4541
Interlaken,13,budget,5,7720
Dakar,3,mid,4,1338
Dubai,4,mid,6,3640
Casablanca,2,luxury,1,589
Lisbon,20,budget,2,2594
Tahiti,8,luxury,5,12222
Barcelona,6,mid,5,3663
Doha,19,budget,3,6210
Jaipur,2,luxury,2,898
Madrid,12,luxury,1,3145
Seoul,15,budget,5,5039
Kuala Lumpur,16,mid,3,5686
Goa,18,mid,2,4693
Kyoto,18,luxury,3,15410
Bali,17,budget,4,4056
Goa,16,mid,1,2060
Copenhagen,6,luxury,1,1635
Maasai Mara,20,luxury,5,33611
Stockholm,18,luxury,3,16188
Zanzibar,5,mid,6,3290
Accra,19,luxury,6,34281
Honolulu,9,mid,4,5893
Montreal,15,mid,6,11465
Orlando,10,mid,3,5146
Johannesburg,4,mid,1,552
Siem Reap,5,mid,6,3581
Abu Dhabi,3,luxury,5,5236
Havana,5,mid,4,2256
Seychelles,3,mid,3,1650
Zurich,20,budget,5,10235
Mauritius,9,mid,1,1324
Havana,5,mid,3,1809
Orlando,21,luxury,5,33264
Havana,21,budget,6,8030
Munich,7,budget,3,1894
Santorini,13,mid,1,1952
Doha,14,luxury,1,3874
Casablanca,4,budget,6,1477
Stockholm,16,mid,3,6632
Santorini,12,luxury,5,19507
Seoul,7,budget,5,2301
Ho Chi Minh City,16,mid,6,10648
Zanzibar,15,mid,3,5104
Lima,13,budget,4,2733
Addis Ababa,20,luxury,4,21371
Santorini,9,budget,4,4371
Singapore,8,budget,3,2557
Apia,10,budget,3,1949
Bangkok,15,mid,2,3106
Bogota,9,luxury,5,12272
Seychelles,4,mid,4,3157
Kyoto,2,mid,4,1252
Reykjavik,15,luxury,5,23239
Casablanca,11,mid,1,1293
Copenhagen,21,budget,4,8960
Interlaken,15,budget,1,1468
Cairo,18,mid,1,2031
Santorini,12,luxury,2,7204
Taipei,18,budget,6,6112
Lima,13,budget,3,2479
