city,country,tags,avg_daily_cost_usd,best_season,popularity_score,latitude,longitude,festivals,festivals_review_needed
Nassau,Bahamas,"beach,relaxing,luxury,nightlife",140,winter,78,25.048,-77.3554,Junkanoo [12-26],
Bridgetown,Barbados,"beach,relaxing,luxury,romantic",130,winter,70,13.0969,-59.6145,Crop Over Festival (culminates 1st Mon of Aug) [07-01 to 08-07],
Port of Spain,Trinidad and Tobago,"culture,nightlife,food,history",70,winter,55,10.6549,-61.5019,"Trinidad Carnival (ends Shrove Tue, tied to Easter) [02-03 to 03-09]",
Castries,Saint Lucia,"beach,romantic,luxury,relaxing",150,winter,68,14.0101,-60.9875,Saint Lucia Jazz Festival [05-01 to 05-15],
Oranjestad,Aruba,"beach,relaxing,luxury,nightlife",145,winter,72,12.5211,-70.027,Aruba Carnival (tied to Easter) [02-03 to 03-09],
Punta Cana,Dominican Republic,"beach,luxury,relaxing,romantic",110,winter,82,18.5601,-68.3725,Dominican Independence Day [02-27]; Dominican Carnival (weekends throughout Feb) [02-01 to 02-28],
San Pedro,Belize,"beach,relaxing,adventure,nature",75,winter,58,17.9186,-87.9631,Belize Independence Day [09-21],
Tashkent,Uzbekistan,"history,culture,shopping,budget-friendly",40,spring,55,41.2995,69.2401,Nauryz (Nowruz) [03-21 to 03-22],
Bukhara,Uzbekistan,"history,culture,budget-friendly",30,spring,62,39.7747,64.4286,Nauryz (Nowruz) [03-21 to 03-22],
Dhaka,Bangladesh,"culture,food,history,budget-friendly",30,winter,50,23.8103,90.4125,Pohela Boishakh (Bengali New Year) [04-14],
Male,Maldives,"beach,luxury,romantic,relaxing",300,winter,88,4.1755,73.5093,Maldives Independence Day [07-26],
Kigali,Rwanda,"nature,adventure,culture",60,summer,60,-1.9403,30.0619,,Kwita Izina / Gorilla Naming Ceremony [09-01 to 09-30]
Luanda,Angola,"culture,nightlife,beach",90,winter,45,-8.839,13.2894,Angola Independence Day [11-11],
Dar es Salaam,Tanzania,"beach,culture,food",55,summer,62,-6.7924,39.2083,Tanzania Independence and Republic Day [12-09],
Kampala,Uganda,"culture,nature,adventure",50,summer,55,0.3476,32.5825,Uganda Independence Day [10-09],
Johannesburg,South Africa,"culture,history,shopping,nightlife",65,autumn,74,-26.2041,28.0473,Heritage Day [09-24],
Durban,South Africa,"beach,relaxing,culture",60,summer,66,-29.8587,31.0218,Heritage Day [09-24],
Muscat,Oman,"history,culture,adventure,luxury",100,winter,68,23.588,58.3829,Oman National Day [11-18],
Doha,Qatar,"luxury,shopping,culture,nightlife",170,winter,72,25.2854,51.531,Qatar National Day [12-18],
Riyadh,Saudi Arabia,"culture,history,shopping",110,winter,58,24.7136,46.6753,Saudi National Day [09-23],
Baku,Azerbaijan,"culture,history,nightlife,shopping",65,spring,68,40.4093,49.8671,Novruz Bayram (Azerbaijani Nowruz) [03-20 to 03-24],
Tbilisi,Georgia,"culture,food,history,budget-friendly",40,autumn,72,41.7151,44.8271,Georgia Independence Day [05-26],
Yerevan,Armenia,"history,culture,budget-friendly",35,autumn,62,40.1792,44.4991,Armenia Independence Day [09-21],
Zagreb,Croatia,"culture,history,food",65,summer,68,45.815,15.9819,Croatia Statehood Day [05-30],
Sarajevo,Bosnia and Herzegovina,"history,culture,budget-friendly",40,autumn,60,43.8563,18.4131,Bosnia and Herzegovina Independence Day [03-01],
Belgrade,Serbia,"nightlife,culture,history,budget-friendly",45,summer,65,44.7866,20.4489,,Serbia Statehood Day [02-15]
Bucharest,Romania,"culture,history,nightlife,budget-friendly",45,summer,64,44.4268,26.1025,Romania National Day [12-01],
Warsaw,Poland,"history,culture,nightlife",60,summer,70,52.2297,21.0122,Polish Independence Day [11-11],
Helsinki,Finland,"culture,nature,relaxing",130,summer,68,60.1699,24.9384,Vappu (May Day) [05-01],
Gothenburg,Sweden,"culture,food,relaxing",125,summer,60,57.7089,11.9746,Sweden National Day [06-06],
Bergen,Norway,"nature,adventure,relaxing",150,summer,72,60.3913,5.3221,Norway Constitution Day [05-17],
Valencia,Spain,"beach,culture,food,nightlife",80,summer,78,39.4699,-0.3763,Las Fallas (main day Mar 19) [03-15 to 03-19],
Bilbao,Spain,"culture,food,history",90,summer,68,43.263,-2.935,Semana Grande / Aste Nagusia (mid-Aug) [08-15 to 08-23],
Lyon,France,"food,culture,history",100,autumn,72,45.764,4.8357,Fête des Lumières (Festival of Lights) [12-08 to 12-11],
Marseille,France,"beach,culture,history,food",90,summer,70,43.2965,5.3698,,
Bruges,Belgium,"history,culture,romantic",95,summer,74,51.2093,3.2247,"Procession of the Holy Blood (Ascension Day, 39 days after Easter) [04-30 to 06-03]",
Brussels,Belgium,"culture,history,food,shopping",110,summer,76,50.8503,4.3517,Belgian National Day [07-21],
Luxembourg City,Luxembourg,"culture,history,luxury",140,summer,55,49.6116,6.1319,National Day (Grand Duke's Official Birthday) [06-23],
Innsbruck,Austria,"mountains,adventure,nature",110,winter,70,47.2692,11.4041,,
Salzburg,Austria,"culture,history,romantic",105,summer,74,47.8095,13.055,Salzburg Festival (Salzburger Festspiele) [07-18 to 08-31],
Bern,Switzerland,"culture,history,luxury",160,summer,62,46.948,7.4474,"Zibelemärit (Bern Onion Market, 4th Mon of Nov) [11-22 to 11-28]",
Valletta,Malta,"history,beach,culture,romantic",100,summer,68,35.8989,14.5146,Malta Carnival (tied to Easter) [02-03 to 03-09],
Nicosia,Cyprus,"history,culture,beach",75,summer,55,35.1856,33.3823,Cyprus Independence Day [10-01],
Corfu,Greece,"beach,romantic,relaxing,nature",90,summer,76,39.6243,19.9217,Greek Orthodox Easter [04-01 to 05-06],
