city,country,tags,avg_daily_cost_usd,best_season,popularity_score,latitude,longitude,festivals,festivals_review_needed
Delhi,India,"culture,history,shopping,food",45,winter,88,28.6139,77.209,Republic Day [01-26]; Diwali [10-17 to 11-14],
Agra,India,"history,culture,romantic",35,winter,90,27.1767,78.0081,Taj Mahotsav [02-18 to 02-27],
Jaipur,India,"history,culture,shopping,romantic",40,winter,89,26.9124,75.7873,Jaipur Literature Festival [01-20 to 01-30]; Teej Festival [07-25 to 08-25],
Udaipur,India,"romantic,history,culture,luxury",55,winter,85,24.5854,73.7125,Mewar Festival (Chaitra Navratri period) [03-15 to 04-15],
Jodhpur,India,"history,culture,shopping",40,winter,80,26.2389,73.0243,Marwar Festival [09-20 to 10-20],
Jaisalmer,India,"adventure,history,culture,romantic",45,winter,78,26.9157,70.9083,Desert Festival (Magh Purnima) [01-20 to 02-20],
Pushkar,India,"culture,relaxing,budget-friendly",25,winter,65,26.4899,74.5511,Pushkar Camel Fair (Kartik Purnima) [10-25 to 11-25],
Bikaner,India,"history,culture,budget-friendly",30,winter,55,28.0229,73.3119,Bikaner Camel Festival [01-10 to 01-20],
Mount Abu,India,"nature,relaxing,romantic",40,winter,60,24.5926,72.7156,,Mount Abu Summer Festival [05-15 to 05-17]
Shimla,India,"mountains,nature,relaxing,romantic",45,summer,82,31.1048,77.1734,,Shimla Summer Festival [05-20 to 06-05]
Manali,India,"mountains,adventure,nature,romantic",45,summer,85,32.2432,77.1892,,Manali Winter Carnival [01-01 to 01-05]
Dharamshala,India,"culture,mountains,nature,relaxing",35,summer,72,32.219,76.3234,Losar (Tibetan New Year) [02-01 to 03-15],
Dalhousie,India,"mountains,nature,relaxing",35,summer,58,32.5387,75.97,,
Kasol,India,"adventure,nature,budget-friendly",25,summer,62,32.01,77.3145,,
Spiti Valley,India,"adventure,nature,mountains",40,summer,68,32.2461,78.0349,Losar (Tibetan New Year) [02-01 to 03-15],
Leh,India,"adventure,mountains,nature",50,summer,84,34.1526,77.5771,Hemis Festival [06-15 to 07-15],
Srinagar,India,"nature,romantic,mountains,culture",60,summer,80,34.0837,74.7973,Tulip Festival [03-25 to 04-15],
Gulmarg,India,"mountains,adventure,nature",55,winter,70,34.0484,74.3805,,
Pahalgam,India,"nature,mountains,relaxing",50,summer,68,34.0161,75.3195,,Amarnath Yatra (Shravan month) [07-01 to 08-15]
Amritsar,India,"history,culture,food,budget-friendly",25,winter,76,31.634,74.8723,Baisakhi (Vaisakhi) [04-13 to 04-14],
Chandigarh,India,"culture,shopping,food",40,winter,60,30.7333,76.7794,,Chandigarh Carnival (Kalagram) [11-15 to 11-25]
Rishikesh,India,"adventure,nature,relaxing,budget-friendly",25,spring,74,30.0869,78.2676,,
Haridwar,India,"culture,history,relaxing",25,winter,65,29.9457,78.1642,Kanwar Yatra [07-15 to 08-15],
Nainital,India,"nature,relaxing,mountains",40,summer,68,29.3803,79.4636,,
Mussoorie,India,"mountains,nature,relaxing,romantic",40,summer,70,30.4598,78.0644,,
Jim Corbett,India,"nature,adventure,wildlife",50,winter,66,29.53,78.7747,,
Varanasi,India,"history,culture,relaxing,spiritual",30,winter,78,25.3176,82.9739,Dev Deepawali (15 days after Diwali) [11-01 to 11-30],
Lucknow,India,"culture,history,food",30,winter,62,26.8467,80.9462,,Lucknow Mahotsav [11-15 to 12-15]
Khajuraho,India,"history,culture,romantic",35,winter,65,24.8318,79.9199,Khajuraho Dance Festival [02-20 to 02-26],
Gwalior,India,"history,culture",25,winter,50,26.2183,78.1828,Tansen Music Festival [11-25 to 12-05],
Orchha,India,"history,culture,relaxing",25,winter,48,25.352,78.6413,,
Bhopal,India,"history,culture,nature",30,winter,52,23.2599,77.4126,,
Pachmarhi,India,"nature,mountains,relaxing",30,winter,45,22.4676,78.4335,,
Kanha National Park,India,"nature,adventure,wildlife",55,winter,60,22.3344,80.6118,,
Bandhavgarh,India,"nature,adventure,wildlife",55,winter,58,23.7071,80.9346,,
Mumbai,India,"culture,nightlife,food,shopping",60,winter,88,19.076,72.8777,Ganesh Chaturthi [08-20 to 09-20]; Kala Ghoda Arts Festival [02-01 to 02-10],
Pune,India,"culture,food,nightlife",45,winter,68,18.5204,73.8567,Sawai Gandharva Bhimsen Mahotsav [12-10 to 12-14],
Panaji,India,"beach,nightlife,relaxing,luxury",65,winter,90,15.4909,73.8278,Goa Carnival (tied to Easter) [02-03 to 03-09]; Sunburn Festival [12-27 to 12-29],
Calangute,India,"beach,nightlife,relaxing",55,winter,82,15.5449,73.7639,Goa Carnival (tied to Easter) [02-03 to 03-09]; Sunburn Festival [12-27 to 12-29],
Ahmedabad,India,"culture,history,food,budget-friendly",30,winter,60,23.0225,72.5714,International Kite Festival (Uttarayan) [01-14],
Rann of Kutch,India,"culture,adventure,nature",40,winter,65,23.7337,69.8597,Rann Utsav [11-01 to 02-20],
Aurangabad,India,"history,culture",35,winter,58,19.8762,75.3433,,
Nashik,India,"culture,food,relaxing",35,winter,55,19.9975,73.7898,,
Lonavala,India,"nature,relaxing,romantic",35,monsoon,62,18.7546,73.4062,,
Mahabaleshwar,India,"nature,relaxing,mountains",35,monsoon,60,17.9307,73.6477,,
Alibaug,India,"beach,relaxing",45,winter,58,18.6414,72.8722,,
Chennai,India,"culture,beach,history,budget-friendly",35,winter,68,13.0827,80.2707,Chennai Music Season (Margazhi) [12-15 to 01-15],
Bangalore,India,"culture,nightlife,food,shopping",45,winter,78,12.9716,77.5946,,
Mysore,India,"history,culture,romantic",35,winter,74,12.2958,76.6394,Mysore Dasara [09-20 to 10-20],
Coorg,India,"nature,relaxing,mountains",40,winter,76,12.3375,75.8069,,
Ooty,India,"mountains,nature,relaxing,romantic",40,summer,78,11.4064,76.6932,,Ooty Summer Festival [05-01 to 05-20]
Kodaikanal,India,"mountains,nature,relaxing,romantic",40,summer,72,10.2381,77.4892,,
Munnar,India,"nature,mountains,relaxing,romantic",45,winter,84,10.0889,77.0595,,
